 ,Area,Mean,Min,Max,IntDen,RawIntDen
474,425,6758.802,3409,10490,2872491.000,2872491.000
475,306,4706.461,3389,6614,1440177.000,1440177.000
476,368,5198.367,3389,7057,1912999.000,1912999.000
477,322,6269.711,3382,8628,2018847.000,2018847.000
478,302,3842.192,3383,4635,1160342.000,1160342.000
479,424,4504.087,3387,5959,1909733.000,1909733.000
480,485,5956.786,3383,8521,2889041.000,2889041.000
481,319,4744.734,3388,6298,1513570.000,1513570.000
482,274,4317.613,3387,5493,1183026.000,1183026.000
483,345,5777.046,3400,8544,1993081.000,1993081.000
484,290,4628.079,3397,6434,1342143.000,1342143.000
485,212,7309.835,3385,11811,1549685.000,1549685.000
486,268,3811.485,3384,4446,1021478.000,1021478.000
487,296,4337.601,3384,5797,1283930.000,1283930.000
488,280,5011.621,3416,6343,1403254.000,1403254.000
489,179,8731.251,3382,15474,1562894.000,1562894.000
490,325,4536.055,3385,6188,1474218.000,1474218.000
491,269,5114.933,3414,7071,1375917.000,1375917.000
492,299,4468.662,3389,5530,1336130.000,1336130.000
493,271,3955.587,3382,5028,1071964.000,1071964.000
494,369,3958.523,3389,4992,1460695.000,1460695.000
495,309,3867.036,3383,4794,1194914.000,1194914.000
496,462,8004.803,3384,11923,3698219.000,3698219.000
497,381,5044.764,3396,6774,1922055.000,1922055.000
498,230,4993.609,3410,6450,1148530.000,1148530.000
499,425,5650.861,3414,7377,2401616.000,2401616.000
500,358,5375.316,3402,7382,1924363.000,1924363.000
501,408,4662.843,3386,6343,1902440.000,1902440.000
502,294,4578.578,3384,6058,1346102.000,1346102.000
503,238,5653.437,3392,8551,1345518.000,1345518.000
504,381,8633.066,3389,16042,3289198.000,3289198.000
505,490,5794.080,3398,7682,2839099.000,2839099.000
506,248,4881.032,3407,6749,1210496.000,1210496.000
507,276,4230.580,3402,5436,1167640.000,1167640.000
508,265,4315.917,3393,5778,1143718.000,1143718.000
509,488,4503.053,3382,5840,2197490.000,2197490.000
510,252,4843.857,3402,6369,1220652.000,1220652.000
